minor,average rssi(mW),dBm
row8,6.086397e-06,-52.16
time range,11:22:08,11:22:18
row1,5.011872e-09,-83.00
row2,1.129463e-08,-79.47
row3,8.295949e-08,-70.81
row4,3.678155e-08,-74.34
row5,4.692047e-07,-63.29
row6,1.185544e-06,-59.26
row7,1.476246e-06,-58.31
row8,2.650873e-06,-55.77
time range,11:22:22,11:22:32
row1,5.660723e-09,-82.47
row2,4.305873e-08,-73.66
row3,4.065782e-08,-73.91
row4,6.309573e-09,-82.00
row5,5.378577e-07,-62.69
row6,1.216176e-06,-59.15
row7,7.398713e-07,-61.31
row8,4.772565e-06,-53.21
time range,11:22:42,11:22:52
row1,1.893634e-08,-77.23
row2,1.371214e-08,-78.63
row3,4.310121e-08,-73.66
row4,1.458324e-08,-78.36
row5,3.370234e-07,-64.72
row6,2.078362e-06,-56.82
row7,3.748076e-07,-64.26
row8,7.079785e-06,-51.50
time range,11:22:55,11:23:05
row1,5.660723e-09,-82.47
row2,2.250830e-08,-76.48
row3,3.496105e-08,-74.56
row4,1.760766e-08,-77.54
row5,2.131408e-07,-66.71
row6,2.032473e-06,-56.92
row7,3.211970e-07,-64.93
row8,8.563214e-06,-50.67
time range,11:23:08,11:23:18
row1,1.196685e-08,-79.22
row2,1.503401e-08,-78.23
row3,6.326681e-08,-71.99
row4,2.912625e-08,-75.36
row5,4.631321e-07,-63.34
row6,9.236242e-07,-60.35
row7,3.669615e-07,-64.35
row8,1.584893e-05,-48.00
time range,11:23:27,11:23:37
row1,1.107925e-08,-79.55
row2,1.566849e-08,-78.05
row3,9.252528e-08,-70.34
row4,1.292447e-08,-78.89
row5,5.655076e-07,-62.48
row6,2.788982e-06,-55.55
row7,8.714551e-07,-60.60
row8,2.583099e-05,-45.88
time range,11:23:47,11:23:57
row1,1.189611e-08,-79.25
row2,1.421909e-08,-78.47
row3,8.029021e-08,-70.95
row4,1.920430e-08,-77.17
row5,1.336775e-06,-58.74
row6,1.975476e-06,-57.04
row7,7.383518e-07,-61.32
row8,5.349322e-05,-42.72
time range,11:24:04,11:24:14
row1,1.098369e-08,-79.59
row2,1.955690e-08,-77.09
row3,3.088504e-08,-75.10
row4,2.012971e-08,-76.96
row5,3.020424e-07,-65.20
row6,2.522685e-06,-55.98
row7,2.086404e-07,-66.81
row8,4.756976e-06,-53.23
time range,11:24:16,11:24:26
row1,1.421909e-08,-78.47
row2,1.181493e-08,-79.28
row3,2.238996e-08,-76.50
row4,1.266915e-08,-78.97
row5,3.380649e-07,-64.71
row6,3.190853e-06,-54.96
row7,1.353998e-06,-58.68
row8,7.577050e-06,-51.20
time range,11:24:32,11:24:42
row1,1.258925e-08,-79.00
row2,2.073122e-08,-76.83
row3,3.327778e-08,-74.78
row4,1.000000e-08,-80.00
row5,1.228023e-07,-69.11
row6,7.179183e-07,-61.44
row7,9.228731e-07,-60.35
row8,1.391145e-05,-48.57
time range,11:24:48,11:24:58
row1,0,-80
row2,1.367581e-08,-78.64
row3,7.605866e-08,-71.19
row4,5.552780e-09,-82.55
row5,1.897418e-07,-67.22
row6,8.628855e-07,-60.64
row7,4.374915e-07,-63.59
row8,8.168478e-06,-50.88
time range,11:25:01,11:25:11
row1,1.220549e-08,-79.13
row2,2.468972e-08,-76.07
row3,9.822201e-08,-70.08
row4,3.446848e-08,-74.63
row5,1.853556e-07,-67.32
row6,3.078161e-06,-55.12
row7,7.758240e-07,-61.10
row8,1.815926e-05,-47.41
time range,11:27:13,11:27:23
row1,4.188486e-08,-73.78
row2,2.318152e-08,-76.35
row3,2.545328e-08,-75.94
row4,2.480750e-08,-76.05
row5,2.643464e-07,-65.78
row6,1.662038e-06,-57.79
